"setting","lambda","selected.tree.size","bias","mse","variance"
1,0,7.37,-0.402865322415072,14.5010868873247,12.5200672625824
1,1,5.77,-0.401391328469862,21.5064108917013,19.5216712963641
1,2,4.7,-0.398703860671912,23.8833515127768,21.8911255445503
1,3,4.07,-0.398841414868551,24.1020252053674,22.1163206255402
1,4,3.61,-0.398582679043632,23.2917294977337,21.3050281955808
1,5,3.28,-0.401691304081215,22.3081224344703,20.321922972981
1,6,3.18,-0.401755614070895,21.9157377665646,19.9274300181894
1,7,3.11,-0.401859160542106,21.4079308662973,19.4199926173564
1,8,3.09,-0.401682352460533,21.6806449451101,19.694011879489
1,9,3.08,-0.401592806511052,21.6733310341877,19.6874357392812
1,10,3.06,-0.401294755485024,21.4356345834703,19.4499534214213
1,11,3.04,-0.401814929426962,21.3906710514038,19.4038600428821
1,12,3.01,-0.401906241461724,21.612924263044,19.6258174559037
1,13,3.01,-0.401906241461724,21.612924263044,19.6258174559037
1,14,3,-0.402183909329668,21.4441393821561,19.4589287505976
1,15,3,-0.402183909329668,21.4441393821561,19.4589287505976
1,16,3,-0.402183909329668,21.4441393821561,19.4589287505976
1,17,3,-0.402183909329668,21.4441393821561,19.4589287505976
1,18,3,-0.402183909329668,21.4441393821561,19.4589287505976
1,19,3,-0.402183909329668,21.4441393821561,19.4589287505976
1,20,3,-0.402183909329668,21.4441393821561,19.4589287505976
2,0,6.03,-0.325232915400282,13.6524905433757,12.1855247092977
2,1,5.07,-0.327781368655727,14.328156367985,12.8584844384042
2,2,3.94,-0.328134177706197,12.5521269787217,11.0869954109873
2,3,3.21,-0.329076138155304,11.3772689164456,9.91467049198343
2,4,2.84,-0.328774550308808,10.3318387367484,8.87173754708141
2,5,2.55,-0.3289582900701,9.70055508027539,8.25125026568324
2,6,2.3,-0.32981555713716,8.94297691014705,7.48939092222328
2,7,2.22,-0.329725070283428,8.58114712080992,7.12730913157025
2,8,2.15,-0.330865815250803,8.247014957041,6.79545871630346
2,9,2.07,-0.331671683079266,8.16424888472213,6.71223325744607
2,10,2.04,-0.331142465359088,8.02833415940775,6.57668137409885
2,11,2.04,-0.331142465359088,8.02833415940775,6.57668137409885
2,12,2.04,-0.331142465359088,8.02833415940775,6.57668137409885
2,13,2.04,-0.331142465359088,8.02833415940775,6.57668137409885
2,14,2.04,-0.331142465359088,8.02833415940775,6.57668137409885
2,15,2.04,-0.331142465359088,8.02833415940775,6.57668137409885
2,16,2.04,-0.331142465359088,8.02833415940775,6.57668137409885
2,17,2.03,-0.329323696417271,8.05650166015421,6.61605439721542
2,18,2.01,-0.327170257116334,7.93725792972853,6.50071848478631
2,19,1.98,-0.326003051915706,8.01324574929386,6.58276481587108
2,20,1.98,-0.326003051915706,8.01324574929386,6.58276481587108
3,0,7.03,-0.310284499394211,14.8562880292834,12.8770351451404
3,1,5.9,-0.312324892495115,17.4923454807927,15.5040890507255
3,2,4.9,-0.311684527143082,18.8869785395919,16.9056697897183
3,3,4.31,-0.31313529504383,18.6241381484804,16.6629729517061
3,4,3.97,-0.311747056920638,19.0369025801238,17.0786754038406
3,5,3.78,-0.310946128352701,18.6021341260809,16.646217258843
3,6,3.4,-0.308014311096731,17.8673361645881,15.8995918736594
3,7,3.27,-0.307514728751902,17.4788199256538,15.5119954165126
3,8,3.1,-0.306439546330222,17.3252622061615,15.3631997111008
3,9,3.07,-0.306581630690196,17.2097742864823,15.2472219447982
3,10,3.04,-0.306043832820056,17.0327465927051,15.0687051251107
3,11,3.02,-0.306580972959237,17.3270153614544,15.3619612099537
3,12,3.02,-0.306580972959237,17.3270153614544,15.3619612099537
3,13,3.02,-0.306580972959237,17.3270153614544,15.3619612099537
3,14,3.02,-0.306580972959237,17.3270153614544,15.3619612099537
3,15,3.01,-0.306574575235339,17.6202566389707,15.6551758377902
3,16,3.01,-0.306574575235339,17.6202566389707,15.6551758377902
3,17,3.01,-0.306574575235339,17.6202566389707,15.6551758377902
3,18,3.01,-0.306574575235339,17.6202566389707,15.6551758377902
3,19,3,-0.306407002398679,17.8109942108248,15.844949754747
3,20,3,-0.306407002398679,17.8109942108248,15.844949754747
5,0,0.68,-0.467624140245827,2.93762066667979,1.16779541401385
5,1,0.39,-0.467082328918683,2.38415375029895,0.609771966893276
5,2,0.21,-0.468890851648317,2.07921121310838,0.304041568344467
5,3,0.11,-0.467792038055976,1.8306574609645,0.0588459205793635
5,4,0.06,-0.468269368546278,1.81268553124362,0.0401194596173472
5,5,0.06,-0.468269368546278,1.81268553124362,0.0401194596173472
5,6,0.04,-0.468390892144934,1.79711704695117,0.024401978410621
5,7,0.04,-0.468390892144934,1.79711704695117,0.024401978410621
5,8,0.02,-0.467870034154828,1.77562129860949,0.00403078646974304
5,9,0.01,-0.4678197609775,1.7716719798206,3.67640613196585e-05
5,10,0,-0.467859626053623,1.77171936881362,0
5,11,0,-0.467859626053623,1.77171936881362,0
5,12,0,-0.467859626053623,1.77171936881362,0
5,13,0,-0.467859626053623,1.77171936881362,0
5,14,0,-0.467859626053623,1.77171936881362,0
5,15,0,-0.467859626053623,1.77171936881362,0
5,16,0,-0.467859626053623,1.77171936881362,0
5,17,0,-0.467859626053623,1.77171936881362,0
5,18,0,-0.467859626053623,1.77171936881362,0
5,19,0,-0.467859626053623,1.77171936881362,0
5,20,0,-0.467859626053623,1.77171936881362,0
6,0,12.6,-0.20629122495028,2.02701128542647,1.83853358721071
6,1,10.07,-0.206193849774303,19.6767235339213,19.489420696168
6,2,6.23,-0.207076838778895,29.1719207113061,28.9863441224978
6,3,5.09,-0.208013043102032,31.1460098364339,30.9597785511585
6,4,4.36,-0.206895649825083,33.7233337369505,33.5376226085376
6,5,4.2,-0.206813559251425,33.8517404948487,33.6656998394679
6,6,4.1,-0.207121727943422,33.6832851988086,33.4971223725898
6,7,4.03,-0.207023757880016,33.4657332421951,33.2796862290302
6,8,3.82,-0.203458514447804,33.2301192787153,33.0455183080034
6,9,3.55,-0.1971062345595,32.3856501528608,32.2049767220784
6,10,3.44,-0.194138751058684,31.6769263515723,31.4999563322616
6,11,3.37,-0.194012297064501,31.9376321092932,31.7608644579646
6,12,3.36,-0.194063142969271,32.2149323973845,32.0381743760681
6,13,3.29,-0.192040804836089,31.6264712507028,31.4502545249819
6,14,3.26,-0.190916082873541,31.6490990657494,31.4731407178622
6,15,3.15,-0.187530649461946,31.1775298098071,31.0044078783344
6,16,3.01,-0.179107494683596,30.3528339270448,30.1814919314827
6,17,2.99,-0.177508741975717,30.0793071437125,29.9074148787257
6,18,2.98,-0.176178109176715,30.110556514628,29.9374362048495
6,19,2.9,-0.17143409411613,29.5956714269817,29.4240244738006
6,20,2.88,-0.169869204483251,29.3608264752243,29.189386089634
7,0,7.6,0.052615183485907,15.8213072966796,14.4246964902622
7,1,5.68,0.0551864010732935,25.4942534510812,24.0842938469263
7,2,4.64,0.0527505925821584,25.3309207314919,23.9231110568492
7,3,4.04,0.0539770085948813,24.5949293043913,23.1841553694541
7,4,3.71,0.0564938376867541,24.1795031964766,22.7729502854993
7,5,3.47,0.0564056111197458,23.7518808045486,22.3460356987029
7,6,3.27,0.0575319590218772,23.9496413859025,22.5453834988044
7,7,3.14,0.0573061363230255,23.7833068726537,22.3769645286876
7,8,3.13,0.0569435740012367,23.5612936905756,22.1554093466957
7,9,3.09,0.0577196756343882,23.4436608431758,22.0378379095722
7,10,3.07,0.0579216554224853,22.7683181373441,21.3625583066242
7,11,3.05,0.0577471741672289,22.6392268287822,21.2333934925362
7,12,3.04,0.0578169040418248,22.6271198654695,21.2212029683944
7,13,3.04,0.0578169040418248,22.6271198654695,21.2212029683944
7,14,3.04,0.0578169040418248,22.6271198654695,21.2212029683944
7,15,3.04,0.0578169040418248,22.6271198654695,21.2212029683944
7,16,3.04,0.0578169040418248,22.6271198654695,21.2212029683944
7,17,3.04,0.0578169040418248,22.6271198654695,21.2212029683944
7,18,3.03,0.057758197249193,22.6242138879288,21.2182504261135
7,19,3.02,0.0577961299479968,22.42779691404,21.0219868962306
7,20,3.01,0.0581260928980412,22.3491706667352,20.9432374200339
